time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,-4.01,58.0,0.0,10000,VFR
0.5,18.5,-5.65,64.5,0.0,10000,VFR
1.0,19.0,-7.43,73.0,0.0,10000,VFR
1.5,19.5,-8.54,76.7,0.0,10000,VFR
2.0,20.0,-9.22,79.2,0.0,10000,VFR
2.5,20.5,-9.68,81.3,0.0,10000,VFR
3.0,21.0,-9.96,82.4,0.0,10000,VFR
3.5,21.5,-10.18,82.8,0.0,10000,VFR
4.0,22.0,-10.33,82.9,0.0,10000,VFR
4.5,22.5,-10.48,83.0,0.0,10000,VFR
5.0,23.0,-10.59,83.0,0.0,10000,VFR
5.5,23.5,-10.72,83.1,0.0,10000,VFR
6.0,0.0,-10.8,83.1,0.0,10000,VFR
6.5,0.5,-10.89,83.4,0.0,10000,VFR
7.0,1.0,-10.95,83.5,0.0,10000,VFR
7.5,1.5,-11.05,83.5,0.0,10000,VFR
8.0,2.0,-11.11,83.4,0.0,10000,VFR
8.5,2.5,-11.17,83.6,0.0,10000,VFR
9.0,3.0,-11.2,83.6,0.0,10000,VFR
9.5,3.5,-11.3,84.1,0.0,10000,VFR
10.0,4.0,-11.37,84.3,0.0,10000,VFR
10.5,4.5,-11.45,84.4,0.0,10000,VFR
11.0,5.0,-11.51,84.4,0.0,10000,VFR
11.5,5.5,-10.99,80.3,0.0,10000,VFR
12.0,6.0,-9.01,68.3,0.0,10000,VFR
