time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,21.0,15.01,99.7,0.0,10000,VFR
1.0,22.0,14.92,99.5,0.0644,859,MVFR
2.0,23.0,14.88,99.5,0.0577,923,MVFR
3.0,0.0,14.85,99.5,0.0545,959,MVFR
4.0,1.0,14.82,99.5,0.0501,1012,VFR
5.0,2.0,14.8,99.5,0.047,1056,VFR
6.0,3.0,14.78,99.5,0.0451,1084,VFR
7.0,4.0,14.76,99.5,0.0418,1138,VFR
8.0,5.0,14.76,99.1,0.0482,1038,VFR
9.0,6.0,16.31,84.3,0.0,10000,VFR
10.0,7.0,17.5,75.4,0.0,10000,VFR
11.0,8.0,18.73,69.9,0.0,10000,VFR
12.0,9.0,20.12,65.3,0.0,10000,VFR
