time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,2.05,99.4,0.0,10000,VFR
1.0,19.0,1.07,99.4,0.0665,842,MVFR
2.0,20.0,0.95,99.5,0.0608,893,MVFR
3.0,21.0,0.87,99.5,0.0568,933,MVFR
4.0,22.0,0.8,99.5,0.0536,969,MVFR
5.0,23.0,0.73,99.5,0.0508,1003,VFR
6.0,0.0,0.67,99.5,0.0484,1036,VFR
7.0,1.0,0.61,99.5,0.0462,1068,VFR
8.0,2.0,0.56,99.5,0.0442,1099,VFR
9.0,3.0,0.51,99.5,0.0424,1129,VFR
10.0,4.0,0.46,99.5,0.0407,1158,VFR
11.0,5.0,0.42,99.5,0.0392,1187,VFR
12.0,6.0,0.37,99.5,0.0379,1214,VFR
13.0,7.0,0.37,99.3,0.0337,1310,VFR
14.0,8.0,0.37,99.4,0.029,1445,VFR
15.0,9.0,0.73,98.7,0.0,10000,VFR
16.0,10.0,1.78,95.3,0.0,10000,VFR
