time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,4.06,80.1,0.0,10000,VFR
1.0,19.0,2.99,86.4,0.0,10000,VFR
2.0,20.0,2.2,91.5,0.0,10000,VFR
3.0,21.0,1.58,95.6,0.0,10000,VFR
4.0,22.0,1.09,99.1,0.0,10000,VFR
5.0,23.0,1.02,99.2,0.0162,2106,VFR
6.0,0.0,0.92,99.8,0.0156,2166,VFR
7.0,1.0,0.98,99.3,0.0156,2158,VFR
8.0,2.0,0.92,99.6,0.0156,2165,VFR
9.0,3.0,0.9,99.7,0.0156,2166,VFR
10.0,4.0,0.92,99.5,0.0156,2163,VFR
11.0,5.0,0.84,100.0,0.018,1967,VFR
12.0,6.0,0.88,99.6,0.0164,2097,VFR
