time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,18.0,0.02,92.5,0.0,10000,VFR
1.0,19.0,-0.48,96.0,0.0,10000,VFR
2.0,20.0,-0.9,99.0,0.0,10000,VFR
3.0,21.0,-1.08,99.8,0.0165,2086,VFR
4.0,22.0,-1.04,99.4,0.0162,2110,VFR
5.0,23.0,-1.05,99.4,0.016,2122,VFR
6.0,0.0,-1.05,99.3,0.0156,2159,VFR
7.0,1.0,-1.07,99.5,0.0145,2271,VFR
8.0,2.0,-0.95,98.6,0.0122,2537,VFR
9.0,3.0,-1.08,99.9,0.0,10000,VFR
10.0,4.0,-1.02,99.0,0.0123,2523,VFR
11.0,5.0,-0.91,98.2,0.0105,2789,VFR
12.0,6.0,-1.06,99.6,0.0,10000,VFR
