================================================================
ЛЕТИЩЕ    : LBBG
КАТЕГОРИЯ : DYNM
НОЩ       : 2025-03-27 / 2025-03-28 (UTC 16:00–09:00)
----------------------------------------------------------------
Общо METAR-и в нощта  : 34
Среден вятър           : 12.3 kt
Максимален вятър       : 20.0 kt
Мин. T−Td спред        : 2.0 °C
Мин. видимост          : 9999 m
METAR-и с ≥ 10 kt      : 26
Мъгла въпреки вятъра   : не
================================================================
СУРОВИ METAR-И:
----------------------------------------------------------------
METAR LBBG 271600Z 08012KT 9000 NSC 12/10 Q1011 NOSIG
METAR LBBG 271630Z 08014KT 9000 NSC 12/10 Q1010 NOSIG
METAR LBBG 271700Z AUTO 07013KT 9999 NSC 12/10 Q1011 NOSIG
METAR LBBG 271730Z AUTO 07015KT 9999 NSC 12/10 Q1011 NOSIG
METAR LBBG 271800Z AUTO 08013KT 9999 NSC 12/10 Q1011 NOSIG
METAR LBBG 271830Z AUTO 07010KT 9999 NSC 11/09 Q1011 NOSIG
METAR LBBG 271900Z AUTO 06013KT 9999 NSC 11/09 Q1011 NOSIG
METAR LBBG 271930Z AUTO 05008KT 9999 NSC 11/09 Q1012 NOSIG
METAR LBBG 272000Z AUTO 04008KT 9999 NSC 11/09 Q1012 NOSIG
METAR LBBG 272030Z AUTO 03008KT 9999 NSC 12/09 Q1011 NOSIG
METAR LBBG 272100Z AUTO 04017KT 9999 NSC 12/08 Q1010 NOSIG
METAR LBBG 272130Z AUTO 04020KT 9999 NSC 11/08 Q1009 NOSIG
METAR LBBG 272200Z AUTO 04016KT 9999 NSC 11/08 Q1009 NOSIG
METAR LBBG 272230Z AUTO 04010KT 9999 NSC 11/08 Q1008 NOSIG
METAR LBBG 272300Z AUTO 05010KT 9999 NSC 12/07 Q1009 NOSIG
METAR LBBG 272330Z AUTO 04009KT 9999 NSC 11/07 Q1009 NOSIG
METAR LBBG 280000Z AUTO 04011KT 9999 NSC 12/07 Q1008 NOSIG
METAR LBBG 280030Z AUTO 04013KT 9999 NSC 12/07 Q1008 NOSIG
METAR LBBG 280100Z AUTO 03010KT 9999 NSC 12/07 Q1008 NOSIG
METAR LBBG 280130Z AUTO 06011KT 9999 NSC 12/07 Q1008 NOSIG
METAR LBBG 280200Z AUTO 07009KT 9999 NSC 12/07 Q1008 NOSIG
METAR LBBG 280230Z AUTO 05010KT 9999 NSC 12/07 Q1008 NOSIG
METAR LBBG 280300Z AUTO VRB03KT 9999 NSC 12/07 Q1009 NOSIG
METAR LBBG 280330Z AUTO 05007KT 030V110 9999 NSC 12/07 Q1009 NOSIG
METAR LBBG 280400Z AUTO 04008KT 9999 -SHRA NSC 11/08 Q1009 NOSIG
METAR LBBG 280430Z AUTO 05012KT 9999 NSC 11/08 Q1009 NOSIG
METAR LBBG 280500Z AUTO 05012KT 9999 NSC 11/08 Q1008 NOSIG
METAR LBBG 280530Z 08014KT 9999 FEW026 SCT045 12/08 Q1009 NOSIG
METAR LBBG 280600Z 07016KT 9999 FEW026 SCT049 12/08 Q1008 NOSIG
METAR LBBG 280630Z 06018KT 9999 FEW026 SCT049 12/09 Q1008 NOSIG
METAR LBBG 280700Z 06019KT 9999 FEW030 SCT049 13/09 Q1008 NOSIG
METAR LBBG 280730Z 07018KT 9999 FEW030 SCT049 13/09 Q1008 NOSIG
METAR LBBG 280800Z 06019KT 9999 FEW030 BKN049 13/09 Q1008 NOSIG
METAR LBBG 280830Z 09013KT 9999 FEW030 BKN049 13/09 Q1009 NOSIG
