time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,6.0,21.87,82.4,0.0,10000,VFR
1.0,7.0,21.97,81.9,0.0,10000,VFR
2.0,8.0,22.13,81.1,0.0,10000,VFR
3.0,9.0,22.36,80.0,0.0,10000,VFR
4.0,10.0,22.64,78.6,0.0,10000,VFR
5.0,11.0,22.96,77.1,0.0,10000,VFR
6.0,12.0,23.3,75.4,0.0,10000,VFR
7.0,13.0,23.64,73.8,0.0,10000,VFR
8.0,14.0,23.96,72.3,0.0,10000,VFR
9.0,15.0,24.25,71.0,0.0,10000,VFR
10.0,16.0,24.49,69.9,0.0,10000,VFR
11.0,17.0,24.66,69.2,0.0,10000,VFR
12.0,18.0,24.76,68.7,0.0,10000,VFR
