time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,6.0,21.57,66.0,0.0,10000,VFR
1.0,7.0,21.66,65.5,0.0,10000,VFR
2.0,8.0,21.83,64.8,0.0,10000,VFR
3.0,9.0,22.06,63.9,0.0,10000,VFR
4.0,10.0,22.34,62.8,0.0,10000,VFR
5.0,11.0,22.66,61.6,0.0,10000,VFR
6.0,12.0,23.0,60.3,0.0,10000,VFR
7.0,13.0,23.34,59.0,0.0,10000,VFR
8.0,14.0,23.67,57.8,0.0,10000,VFR
9.0,15.0,23.97,56.8,0.0,10000,VFR
10.0,16.0,24.21,56.0,0.0,10000,VFR
11.0,17.0,24.39,55.4,0.0,10000,VFR
12.0,18.0,24.5,55.1,0.0,10000,VFR
