time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,6.0,17.24,87.1,0.0,10000,VFR
1.0,7.0,17.35,86.5,0.0,10000,VFR
2.0,8.0,17.54,85.4,0.0,10000,VFR
3.0,9.0,17.79,84.0,0.0,10000,VFR
4.0,10.0,18.1,82.3,0.0,10000,VFR
5.0,11.0,18.45,80.5,0.0,10000,VFR
6.0,12.0,18.81,78.6,0.0,10000,VFR
7.0,13.0,19.17,76.7,0.0,10000,VFR
8.0,14.0,19.52,75.0,0.0,10000,VFR
9.0,15.0,19.83,73.6,0.0,10000,VFR
10.0,16.0,20.08,72.4,0.0,10000,VFR
11.0,17.0,20.28,71.5,0.0,10000,VFR
12.0,18.0,20.4,71.0,0.0,10000,VFR
