time_h,hour_utc,T_sfc_C,RH_sfc_pct,LWC_sfc_gm3,VIS_sfc_m,CAT
0.0,6.0,24.65,73.5,0.0,10000,VFR
1.0,7.0,24.73,73.2,0.0,10000,VFR
2.0,8.0,24.89,72.5,0.0,10000,VFR
3.0,9.0,25.11,71.6,0.0,10000,VFR
4.0,10.0,25.37,70.4,0.0,10000,VFR
5.0,11.0,25.66,69.2,0.0,10000,VFR
6.0,12.0,25.95,68.0,0.0,10000,VFR
7.0,13.0,26.25,66.7,0.0,10000,VFR
8.0,14.0,26.53,65.6,0.0,10000,VFR
9.0,15.0,26.79,64.6,0.0,10000,VFR
10.0,16.0,27.0,63.8,0.0,10000,VFR
11.0,17.0,27.15,63.2,0.0,10000,VFR
12.0,18.0,27.24,62.9,0.0,10000,VFR
