case,icao,category,event,Tmin_err,T_MAE,z_icon0,dTdz_raw,dTdz,at_cap,source,dT_total,T_292,z_join,T_join,jump_grad,rh_2,rh_292
LBBG_CDRY_2024-05-02,LBBG,CDRY,CN,2.047,1.126,78,-9.63,-9.63,0,METAR→ICON,-2.81,12.19,509,10.70,-6.9,0.819,0.662
LBBG_CDRY_2024-10-14,LBBG,CDRY,FA,1.12,0.889,142,13.73,13.73,0,METAR→ICON,4.01,20.01,359,17.30,-40.4,0.765,0.398
LBBG_CDRY_2024-10-31,LBBG,CDRY,CN,2.676,2.204,188,4.58,4.58,0,METAR→ICON,1.34,15.34,402,14.10,-11.3,0.763,0.470
LBBG_CDRY_2025-01-19,LBBG,CDRY,CN,-0.721,0.73,196,25.35,25.35,0,METAR→ICON,7.40,11.40,405,8.27,-27.7,0.693,0.280
LBBG_CDRY_2026-07-20,LBBG,CDRY,CN,-1.268,1.4,111,-6.53,-6.53,0,METAR→ICON,-1.91,23.09,333,23.81,17.7,0.686,0.518
LBBG_CDRY_2026-07-21,LBBG,CDRY,CN,1.579,1.245,107,-3.20,-3.20,0,METAR→ICON,-0.93,24.07,329,22.91,-31.2,0.778,0.554
LBBG_CLDY_2025-02-09,LBBG,CLDY,CN,-1.767,0.947,246,-5.45,-5.45,0,METAR→ICON,-1.59,-2.59,447,-3.00,-2.6,0.686,0.517
LBBG_DYNM_2024-07-25,LBBG,DYNM,CN,-0.669,0.738,43,-19.57,-10.00,0,METAR→ICON,-2.92,21.08,489,20.20,-4.5,0.642,0.517
LBBG_DYNM_2024-12-27,LBBG,DYNM,CN,-0.694,0.691,183,-2.50,-2.50,0,METAR→ICON,-0.73,0.27,386,-0.59,-9.1,0.862,0.610
LBBG_DYNM_2025-01-05,LBBG,DYNM,CN,-0.313,0.926,164,32.40,30.00,1,METAR→ICON,8.76,8.76,370,3.70,-64.5,0.857,0.311
LBBG_DYNM_2025-02-21,LBBG,DYNM,CN,-1.635,1.686,282,-4.70,-4.70,0,METAR→ICON,-1.37,-5.37,480,-7.19,-9.7,0.580,0.432
LBBG_DYNM_2025-03-11,LBBG,DYNM,CN,-1.668,2.376,81,5.39,5.39,0,METAR→ICON,1.57,16.57,514,13.20,-15.2,0.668,0.405
