case,icao,category,event,verdict,n_low_hours,min_vis_obs,FOG,MIST,SNOW,RAIN,MIXED,OTHER
LBBG_CDRY_2024-05-02,LBBG,CDRY,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBBG_CDRY_2024-10-14,LBBG,CDRY,FA,NO_LOW_VIS,0,,0,0,0,0,0,0
LBBG_CDRY_2024-10-31,LBBG,CDRY,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBBG_CDRY_2025-01-19,LBBG,CDRY,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBBG_CDRY_2026-07-20,LBBG,CDRY,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBBG_CDRY_2026-07-21,LBBG,CDRY,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBBG_CLDY_2025-02-09,LBBG,CLDY,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBBG_DYNM_2024-07-25,LBBG,DYNM,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBBG_DYNM_2024-12-27,LBBG,DYNM,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBBG_DYNM_2025-01-05,LBBG,DYNM,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBBG_DYNM_2025-02-21,LBBG,DYNM,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBBG_DYNM_2025-03-11,LBBG,DYNM,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBBG_DYNM_2025-03-14,LBBG,DYNM,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBBG_DYNM_2026-07-22,LBBG,DYNM,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBBG_DYNM_2026-07-23,LBBG,DYNM,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBBG_DYNM_2026-07-24,LBBG,DYNM,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBBG_DYNM_2026-07-25,LBBG,DYNM,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBBG_DYNM_2026-07-26,LBBG,DYNM,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBBG_DYNM_2026-07-27,LBBG,DYNM,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBGO_CDRY_2024-10-20,LBGO,CDRY,FA,NO_LOW_VIS,0,,0,0,0,0,0,0
LBGO_CDRY_2024-10-28,LBGO,CDRY,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBGO_CDRY_2024-11-03,LBGO,CDRY,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBGO_CDRY_2024-12-13,LBGO,CDRY,FA,NO_LOW_VIS,0,,0,0,0,0,0,0
LBGO_CDRY_2024-12-19,LBGO,CDRY,FA,NO_LOW_VIS,0,,0,0,0,0,0,0
LBGO_CDRY_2025-01-04,LBGO,CDRY,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBGO_CDRY_2025-02-14,LBGO,CDRY,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBGO_CDRY_2025-02-21,LBGO,CDRY,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBGO_CDRY_2025-03-05,LBGO,CDRY,FA,NO_LOW_VIS,0,,0,0,0,0,0,0
LBGO_CDRY_2025-03-07,LBGO,CDRY,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBGO_CFOG_2024-02-17,LBGO,CFOG,HIT,REAL_FOG,12,350,12,0,0,0,0,0
LBGO_CFOG_2024-03-03,LBGO,CFOG,MISS,REAL_FOG,2,500,2,0,0,0,0,0
LBGO_CFOG_2024-03-16,LBGO,CFOG,HIT,REAL_FOG,2,300,2,0,0,0,0,0
LBGO_CFOG_2024-10-22,LBGO,CFOG,HIT,REAL_FOG,2,700,2,0,0,0,0,0
LBGO_CFOG_2024-10-24,LBGO,CFOG,MISS,REAL_FOG,2,450,2,0,0,0,0,0
LBGO_CFOG_2024-11-01,LBGO,CFOG,MISS,REAL_FOG,6,450,6,0,0,0,0,0
LBGO_CFOG_2024-11-16,LBGO,CFOG,MISS,REAL_FOG,17,250,17,0,0,0,0,0
LBGO_CFOG_2024-11-17,LBGO,CFOG,HIT,REAL_FOG,10,350,10,0,0,0,0,0
LBGO_CFOG_2024-11-18,LBGO,CFOG,MISS,REAL_FOG,1,550,1,0,0,0,0,0
LBGO_CFOG_2024-11-27,LBGO,CFOG,HIT,REAL_FOG,2,450,2,0,0,0,0,0
LBGO_CFOG_2024-12-30,LBGO,CFOG,HIT,REAL_FOG,14,350,14,0,0,0,0,0
LBGO_CFOG_2024-12-31,LBGO,CFOG,HIT,REAL_FOG,2,350,2,0,0,0,0,0
LBGO_CFOG_2025-01-25,LBGO,CFOG,MISS,REAL_FOG,1,450,1,0,0,0,0,0
LBGO_CFOG_2025-01-26,LBGO,CFOG,MISS,REAL_FOG,10,200,10,0,0,0,0,0
LBGO_CFOG_2025-01-31,LBGO,CFOG,HIT,REAL_FOG,26,200,26,0,0,0,0,0
LBGO_CFOG_2025-02-01,LBGO,CFOG,HIT,REAL_FOG,11,200,11,0,0,0,0,0
LBGO_CFOG_2025-02-20,LBGO,CFOG,MISS,REAL_FOG,8,200,8,0,0,0,0,0
LBGO_CFOG_2025-02-25,LBGO,CFOG,HIT,REAL_FOG,18,150,18,0,0,0,0,0
LBGO_CFOG_2025-03-04,LBGO,CFOG,HIT,REAL_FOG,3,450,3,0,0,0,0,0
LBGO_CLDY_2024-10-05,LBGO,CLDY,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBGO_CLDY_2024-11-24,LBGO,CLDY,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBGO_CLDY_2025-01-14,LBGO,CLDY,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBGO_CLDY_2025-02-03,LBGO,CLDY,MISS,REAL_FOG,1,500,1,0,0,0,0,0
LBGO_CLDY_2025-02-07,LBGO,CLDY,CN,NO_LOW_VIS,0,,0,0,0,0,0,0
LBGO_CLDY_2025-02-16,LBGO,CLDY,MISS,NO_LOW_VIS,0,,0,0,0,0,0,0
LBGO_CLDY_2025-02-28,LBGO,CLDY,MISS,NO_LOW_VIS,0,,0,0,0,0,0,0
LBGO_CLDY_2025-03-17,LBGO,CLDY,MISS,NO_LOW_VIS,0,,0,0,0,0,0,0
